"","cve_ent","tasa_covid","inclusion_fin_2019","popden2020","porcentaje_pob_pobreza_ext","porcentaje_pob_pobreza","porcentaje_pob_acceso_ss","pob_6.14_no_edu","entidad","cant_hosp"
"1",1001,152.69595842728,1.78,811.991,0.0197,0.2368,0.3777,4.6,"Aguascalientes",2680
"2",1002,61.9298521547657,0,94.087,0.0414,0.4013,0.6209,6.29,"Aguascalientes",37
"3",1003,90.3554970375247,1.16,62.549,0.045,0.4576,0.7615,6.95,"Aguascalientes",108
"4",1004,63.2462466012531,0,131.885,0.0338,0.3704,0.4752,5.7,"Aguascalientes",14
"5",1005,42.0174522214711,0.36,260.285,0.0329,0.2634,0.4187,5.88,"Aguascalientes",146
"6",1006,134.513911096898,1.2,239.019,0.0288,0.2892,0.4529,4.44,"Aguascalientes",90
"7",1007,101.240061399424,1.03,153.833,0.0556,0.4051,0.581,4.38,"Aguascalientes",84
"8",1008,97.2984163130111,0,11.147,0.0232,0.4577,0.74,5.74,"Aguascalientes",9
"9",1009,94.9742777997626,0,98.239,0.0315,0.3765,0.594,5.37,"Aguascalientes",22
"10",1010,18.6813687519934,0,41.635,0.0481,0.4061,0.5971,4.4,"Aguascalientes",13
"11",1011,34.9053676698728,0.33,462.423,0.0593,0.3779,0.426,6.43,"Aguascalientes",50
"12",2001,125.694077885937,1.32,8.543,0.0206,0.223,0.499,5.46,"Baja California",1078
"13",2002,144.104064633951,1.51,76.688,0.0108,0.2022,0.4368,4.88,"Baja California",2298
"14",2003,117.954978613524,1.02,35.219,0.0121,0.2111,0.5143,6.04,"Baja California",213
"15",2004,72.3038606204642,1.32,2186.673,0.0186,0.237,0.4561,7.63,"Baja California",3921
"16",2005,68.4226629210358,1.55,247.204,0.0216,0.3123,0.6432,7.75,"Baja California",230
"17",3001,154.965021492818,0.92,5.82,0.0428,0.3495,0.486,3.56,"Baja California Sur",121
"18",3002,194.457158887888,1.65,1.935,0.0316,0.2411,0.4396,5.62,"Baja California Sur",90
"19",3003,296.627710200986,1.87,14.414,0.0189,0.2061,0.3668,3.32,"Baja California Sur",782
"20",3008,173.593451040229,2.22,101.727,0.0477,0.317,0.4114,4.77,"Baja California Sur",489
"21",3009,402.641178371889,1.13,4.187,0.0294,0.3408,0.4381,4.39,"Baja California Sur",35
"22",4001,38.2318556668457,0.89,30.119,0.1778,0.6284,0.645,2.82,"Campeche",114
"23",4002,98.4172589344221,1.67,86.223,0.047,0.3253,0.4294,3.2,"Campeche",709
"24",4003,94.0183971133811,1.86,25.601,0.0763,0.3536,0.4996,6.69,"Campeche",372
"25",4004,27.8152984141278,1.13,12.839,0.1211,0.5717,0.6774,5.91,"Campeche",90
"26",4005,74.0997030245365,0.42,23.962,0.166,0.6668,0.6373,10.72,"Campeche",41
"27",4006,35.8675171959774,0.32,5.649,0.2172,0.7485,0.8252,19.76,"Campeche",36
"28",4007,52.6955816781516,0,4.191,0.1372,0.5986,0.8113,5.11,"Campeche",17
"29",4008,46.1022632020117,0,12.984,0.106,0.5386,0.6364,9.16,"Campeche",22
"30",4009,87.7234427907709,1.32,13.113,0.1783,0.6806,0.7758,6.99,"Campeche",88
"31",4010,24.2726097783942,0.45,2.292,0.3026,0.8297,0.8631,6.51,"Campeche",14
"32",4011,29.9659291490497,0.58,8.501,0.3096,0.8045,0.8861,9.34,"Campeche",41
"33",5001,26.5486725663717,0,1.582,0.0064,0.1097,0.6556,4.31,"Coahuila de Zaragoza",4
"34",5002,149.978241816165,1.44,14.194,0.0151,0.2345,0.293,4.97,"Coahuila de Zaragoza",196
"35",5003,216.150576806315,2.09,116.034,0.014,0.248,0.3771,9.23,"Coahuila de Zaragoza",41
"36",5004,34.933469403776,0.52,16.264,0.0319,0.2901,0.5531,4.68,"Coahuila de Zaragoza",21
"37",5005,46.2724935732648,0,0.713,0.0461,0.3339,0.6498,14.44,"Coahuila de Zaragoza",4
"38",5006,93.5618947919393,0.94,9.97,0.0422,0.3375,0.3337,5.05,"Coahuila de Zaragoza",31
"39",5007,402.790125145319,0,1.618,0.0646,0.33,0.5846,6.64,"Coahuila de Zaragoza",15
"40",5008,44.7360572621533,0,3.129,0.0383,0.2907,0.6221,5.31,"Coahuila de Zaragoza",2
"41",5009,202.534001209621,1.54,11.965,0.0347,0.3177,0.4988,5.88,"Coahuila de Zaragoza",80
"42",5010,141.456869300221,1.3,162.607,0.0174,0.2225,0.2795,5.26,"Coahuila de Zaragoza",70
